Segment,Brightness
1,132.76642335766422
2,133.15540540540542
3,131.8993710691824
4,131.0943396226415
5,132.30967741935484
6,129.33333333333334
7,129.76865671641792
8,128.175
9,127.3425925925926
10,125.37864077669903
11,123.37078651685393
12,122.40963855421687
13,123.97435897435898
14,123.28767123287672
15,124.15942028985508
16,120.16666666666667
17,122.29411764705883
18,122.44117647058823
19,118.57142857142857
20,119.6969696969697
21,120.0909090909091
22,122.15714285714286
23,125.36
24,125.15789473684211
25,124.24096385542168
26,127.38202247191012
27,128.72277227722773
28,131.67307692307693
29,131.47899159663865
30,134.24242424242425
31,137.4468085106383
32,136.58441558441558
33,135.87037037037038
34,135.5276073619632
35,136.4814814814815
36,142.10759493670886
37,139.12883435582822
38,137.25153374233128
39,132.64634146341464
40,131.78481012658227
41,130.23225806451612
42,127.47945205479452
43,125.20149253731343
44,124.98347107438016
45,123.25
46,123.56880733944953
47,123.91
48,122.53191489361703
49,122.36781609195403
50,122.3048780487805
51,122.6
52,123.51898734177215
53,123.30666666666667
54,122.08108108108108
55,121.79746835443038
56,121.07894736842105
57,123.11538461538461
58,122.60759493670886
59,123.58823529411765
60,122.22988505747126
61,121.7872340425532
62,120.65656565656566
63,122.00980392156863
64,123.75
65,125.140625
66,125.11278195488721
67,128.93333333333334
68,130.52903225806452
69,129.86875
70,132.11612903225807
71,132.17006802721087
72,131.02238805970148
